card_id,card_index,card_brand,card_type,has_chip,cards_issued,credit_limit,year_pin_last_changed,card_on_dark_web,expire_month,expire_year,opening_month,opening_year,user_id,card_last4
23,2,Visa,Credit,YES,2,15800.0,2011,No,11,2022,11,2005,6,0768
24,0,Mastercard,Debit,YES,1,29964.0,2014,No,04,2022,06,2005,7,7336
25,1,Mastercard,Credit,YES,2,11200.0,2010,No,07,2023,09,2010,7,6305
26,2,Mastercard,Debit,NO,2,26753.0,2014,No,12,2021,10,2014,7,4372
27,0,Visa,Debit,NO,2,17480.0,2020,No,05,2023,01,2020,8,4644
28,0,Mastercard,Debit,YES,2,26546.0,2009,No,09,2021,11,2009,9,5152
29,1,Mastercard,Debit,YES,1,23253.0,2017,No,01,2021,09,2017,9,9353
30,2,Visa,Credit,YES,1,16100.0,2014,No,02,2021,01,2005,9,8232
31,3,Visa,Credit,YES,2,8700.0,2012,No,02,2021,01,2012,9,9440
32,4,Mastercard,Debit,YES,1,29333.0,2012,No,01,2019,05,2012,9,3611
33,0,Mastercard,Debit,YES,2,9496.0,2012,No,07,2024,07,2009,10,3532
34,0,Visa,Debit,YES,1,25499.0,2020,No,07,2021,02,2020,11,6614
35,1,Visa,Debit,YES,1,18641.0,2020,No,02,2020,02,2020,11,9923
36,0,Visa,Debit,YES,1,26019.0,2020,No,05,2023,01,2020,12,0724
37,0,Mastercard,Debit,YES,1,25845.0,2020,No,01,2021,02,2020,13,5230
38,0,Visa,Debit,YES,2,2365.0,2009,No,06,2023,01,2007,14,7229
39,1,Mastercard,Debit,YES,2,18684.0,2017,No,06,2023,07,2006,14,3587
40,2,Visa,Credit,NO,2,7400.0,2020,No,02,2021,02,2020,14,6458
41,0,Mastercard,Debit,YES,2,4147.0,2016,No,12,2024,12,2008,15,9334
42,0,Visa,Debit (Prepaid),YES,1,76.0,2012,No,04,2022,12,2012,16,9447
43,1,Discover,Credit,NO,1,4700.0,2014,No,01,2009,12,2008,16,6113
44,2,Visa,Credit,YES,2,5800.0,2011,No,06,2021,08,2007,16,6149
45,3,Mastercard,Debit,YES,2,12082.0,2016,No,03,2024,08,2016,16,0524
46,4,Mastercard,Credit,NO,2,6000.0,2010,No,03,2023,06,2002,16,7562
47,5,Visa,Debit,YES,1,620.0,2014,No,11,2009,02,2002,16,2271
48,0,Mastercard,Debit,YES,1,14499.0,2008,No,08,2022,01,2008,17,9900
49,1,Mastercard,Debit,YES,2,12332.0,2009,No,07,2023,08,2007,17,6144
50,2,Mastercard,Debit,YES,1,18424.0,2013,No,09,2024,08,2013,17,9524
51,3,Visa,Credit,NO,1,15400.0,2008,No,07,2023,08,2003,17,9293
52,4,Visa,Debit,YES,2,14548.0,2013,No,02,2022,08,2007,17,8913
53,5,Mastercard,Credit,YES,2,10100.0,2016,No,12,2016,09,2016,17,4994
54,0,Discover,Credit,YES,1,11200.0,2008,No,04,2011,02,2004,18,2196
55,1,Mastercard,Debit,YES,2,20291.0,2011,No,10,2024,12,2009,18,0967
56,2,Visa,Debit,YES,1,32092.0,2010,No,08,2018,01,2006,18,0908
57,3,Mastercard,Debit,YES,1,20463.0,2020,No,02,2020,01,2020,18,3905
58,0,Visa,Debit,YES,1,15802.0,2020,No,08,2022,01,2020,19,8909
59,1,Visa,Debit,NO,2,4612.0,2020,No,02,2020,02,2020,19,6693
60,2,Discover,Credit,YES,2,19900.0,2020,No,07,2020,01,2020,19,3324
61,0,Mastercard,Debit (Prepaid),YES,1,73.0,2012,No,10,2020,02,2000,20,2402
62,1,Mastercard,Debit,YES,1,11858.0,2010,No,01,2024,09,2009,20,1171
63,2,Mastercard,Debit,YES,1,9664.0,2011,No,03,2005,01,1998,20,8288
64,3,Mastercard,Debit,YES,1,8367.0,2009,No,06,2020,03,2009,20,0567
65,4,Visa,Credit,YES,2,6100.0,2009,No,06,2022,02,2004,20,2730
66,0,Mastercard,Debit,YES,3,9944.0,2020,No,02,2020,02,2020,21,1785
67,1,Visa,Credit,YES,1,7900.0,2020,No,01,2020,01,2020,21,9839
68,2,Visa,Credit,YES,1,5600.0,2020,No,12,2020,02,2020,21,4473
69,0,Visa,Debit,YES,1,68400.0,2020,No,08,2023,01,2020,22,1061
70,1,Mastercard,Debit,YES,2,77237.0,2020,No,04,2023,01,2020,22,3392
71,0,Visa,Debit,YES,2,4488.0,2015,No,08,2024,07,2002,23,5333
72,1,Visa,Credit,YES,2,12500.0,2014,No,02,2020,11,2014,23,4033
73,0,Mastercard,Debit,YES,2,23432.0,2008,No,12,2020,09,2001,24,7601
74,1,Amex,Credit,YES,2,8800.0,2011,No,05,2022,05,2005,24,4839
75,0,Mastercard,Credit,YES,2,12100.0,2020,No,02,2020,02,2020,25,0962
76,0,Mastercard,Debit,YES,1,9708.0,2020,No,02,2020,01,2020,26,6425
77,1,Amex,Credit,YES,2,12000.0,2011,No,11,2021,07,2009,26,1556
78,2,Mastercard,Debit,YES,1,11973.0,2012,No,11,2023,03,2012,26,0263
79,0,Mastercard,Debit,YES,2,13601.0,2014,No,02,2022,10,2006,27,0673
80,1,Mastercard,Credit,YES,2,7800.0,2020,No,01,2024,02,2020,27,7423
81,0,Visa,Debit,YES,2,17816.0,2016,No,10,2023,08,2008,28,0569
82,0,Mastercard,Debit,NO,2,17707.0,2010,No,03,2021,10,2010,29,5704
83,1,Amex,Credit,YES,1,9500.0,2009,No,11,2020,05,2005,29,9220
84,0,Mastercard,Debit,YES,1,19110.0,2011,No,01,2022,05,2010,30,3869
85,1,Mastercard,Debit,YES,1,13428.0,2016,No,08,2023,10,2016,30,1289
86,2,Mastercard,Debit,YES,1,24608.0,2009,No,06,2022,08,2005,30,4781
87,3,Mastercard,Debit,YES,1,13441.0,2011,No,09,2022,01,2008,30,8993
88,0,Mastercard,Debit (Prepaid),YES,2,74.0,2020,No,02,2020,01,2020,31,1808
89,0,Mastercard,Debit,YES,1,17872.0,2008,No,10,2012,06,2008,32,8285
90,1,Mastercard,Credit,YES,1,12900.0,2010,No,09,2022,12,2003,32,9913
91,2,Mastercard,Debit,YES,2,25264.0,2020,No,05,2024,03,2006,32,4029
92,3,Mastercard,Debit,YES,2,20634.0,2007,No,12,2022,03,2005,32,5038
93,0,Visa,Credit,YES,2,12200.0,2010,No,04,2007,12,2006,33,6974
94,1,Visa,Credit,YES,2,5500.0,2008,No,02,2010,01,2008,33,1342
95,0,Visa,Credit,NO,2,6600.0,2020,No,03,2020,02,2020,34,0769
96,1,Mastercard,Debit,YES,1,25815.0,2017,No,11,2020,12,2017,34,2305
97,0,Amex,Credit,YES,2,8400.0,2014,No,06,2021,01,2014,35,4804
98,1,Mastercard,Debit,YES,1,21628.0,2008,No,02,2020,03,2001,35,0868
99,2,Mastercard,Debit,YES,1,24232.0,2009,No,10,2021,07,2009,35,8961
100,0,Mastercard,Debit,YES,2,10775.0,2010,No,11,2023,02,2009,36,8184
101,1,Mastercard,Debit (Prepaid),YES,2,105.0,2013,No,02,2020,06,2007,36,2302
102,0,Visa,Credit,NO,2,7100.0,2010,No,01,2021,11,2010,37,5861
103,1,Mastercard,Debit,YES,1,29351.0,2007,No,07,2024,11,2005,37,4292
104,2,Mastercard,Debit,YES,2,15125.0,2012,No,03,2020,04,2008,37,5174
105,3,Mastercard,Credit,YES,2,8000.0,2008,No,11,2021,11,2003,37,4705
106,4,Mastercard,Debit (Prepaid),YES,1,83.0,2010,No,05,2011,11,2010,37,8745
107,0,Amex,Credit,YES,2,23700.0,2012,No,01,2024,07,2012,38,9536
108,0,Visa,Credit,YES,2,700.0,2016,No,02,2024,12,2016,39,1129
109,0,Mastercard,Debit,YES,2,7488.0,2016,No,07,2024,07,2006,40,4401
110,0,Visa,Credit,NO,1,24900.0,2010,No,01,2002,02,1999,41,9333
111,1,Mastercard,Debit,YES,2,30971.0,2020,No,06,2021,03,2005,41,6761
112,2,Amex,Credit,YES,1,24400.0,2020,No,01,2024,01,2020,41,3253
113,3,Mastercard,Debit,YES,2,53549.0,2020,No,02,2020,01,2020,41,4665
114,4,Visa,Debit,YES,1,53036.0,2013,No,09,2018,10,2013,41,7037
115,5,Mastercard,Debit,YES,1,35750.0,2011,No,12,2024,08,2011,41,9467
116,6,Visa,Debit,YES,1,33375.0,2013,No,07,2021,03,2013,41,1050
117,0,Visa,Debit (Prepaid),YES,2,22.0,2010,No,07,2023,12,2010,42,7151
118,1,Discover,Credit,YES,1,13100.0,2014,No,11,2020,08,2014,42,9196
119,2,Visa,Debit,YES,1,16516.0,2011,No,10,2024,07,2003,42,4632
120,3,Mastercard,Credit,YES,1,15700.0,2011,No,07,2016,05,2004,42,5175
121,4,Mastercard,Debit,YES,1,21058.0,2007,No,05,2024,08,2003,42,9093
122,0,Visa,Debit,YES,2,36425.0,2004,No,10,2023,01,2002,43,5765
123,1,Visa,Debit (Prepaid),YES,2,91.0,2016,No,03,2021,12,2016,43,8902
124,2,Mastercard,Credit,YES,1,13400.0,2014,No,09,2021,04,2005,43,9394
125,3,Mastercard,Credit,YES,2,21600.0,2010,No,04,2021,04,2010,43,9832
126,0,Mastercard,Debit,NO,1,9090.0,2020,No,02,2020,02,2020,44,9803
127,0,Visa,Debit,NO,1,25942.0,2012,No,02,2023,11,2012,45,8639
128,1,Mastercard,Credit,YES,2,10700.0,2013,No,07,2019,02,2003,45,2744
129,2,Mastercard,Credit,YES,2,4900.0,2020,No,07,2022,02,2020,45,6793
130,0,Mastercard,Credit,NO,1,18100.0,2020,No,04,2022,02,2020,46,3241
131,0,Amex,Credit,YES,2,7200.0,2020,No,03,2024,01,2020,47,9364
132,0,Mastercard,Debit,YES,2,22660.0,2007,No,02,2020,07,2004,48,1726
133,1,Discover,Credit,YES,1,19800.0,2011,No,12,2022,05,2011,48,2652
134,2,Mastercard,Credit,YES,2,15500.0,2014,No,11,2024,01,2005,48,6931
135,3,Visa,Debit (Prepaid),YES,1,13.0,2008,No,06,2023,01,2005,48,2080
136,4,Mastercard,Debit,YES,2,4317.0,2011,No,06,2021,07,2001,48,1741
137,0,Mastercard,Debit,NO,1,14719.0,2008,No,12,2021,03,2000,49,5066
138,1,Mastercard,Debit,YES,1,9532.0,2017,No,05,2021,09,2017,49,0880
139,2,Mastercard,Credit,YES,1,10900.0,2014,No,03,2020,07,2006,49,0568
140,0,Mastercard,Credit,YES,2,6200.0,2012,No,09,2024,11,2001,50,6752
141,1,Mastercard,Debit,YES,2,2903.0,2011,No,12,2012,11,2005,50,5459
142,2,Mastercard,Debit,YES,2,4355.0,2010,No,10,2020,12,1999,50,3387
143,0,Mastercard,Debit,YES,1,28963.0,2012,No,04,2021,11,2007,51,0434
144,1,Mastercard,Debit,YES,2,20913.0,2016,No,12,2022,05,2016,51,2905
145,2,Mastercard,Debit,YES,1,23344.0,2010,No,07,2024,02,2010,51,1480
146,3,Mastercard,Debit,YES,2,33642.0,2016,No,01,2020,10,2016,51,1997
147,0,Mastercard,Debit,YES,1,14695.0,2011,No,01,2022,09,2010,52,1945
148,0,Mastercard,Credit,YES,1,13200.0,2015,No,09,2023,01,2007,53,1896
149,1,Visa,Debit,YES,1,29950.0,2013,No,01,2020,09,2008,53,1772
150,2,Visa,Credit,YES,2,4600.0,2011,No,07,2024,12,2007,53,2899
151,0,Mastercard,Debit,YES,1,10051.0,2011,No,12,2022,04,2002,54,8549
152,1,Mastercard,Debit,YES,2,9796.0,2013,No,12,2015,02,2003,54,5425
153,0,Mastercard,Debit,YES,1,17826.0,2009,No,10,2021,10,2009,55,0328
154,1,Mastercard,Debit,YES,1,19086.0,2009,No,11,2024,12,2006,55,6913
155,2,Visa,Debit,YES,2,17345.0,2014,No,06,2024,10,2014,55,2637
156,3,Visa,Debit,YES,2,17976.0,2013,No,09,2020,02,2013,55,9911
157,4,Visa,Debit,YES,2,16447.0,2019,No,01,2022,01,2019,55,6727
158,0,Visa,Debit,YES,2,29573.0,2009,No,10,2024,10,2008,56,6453
159,1,Mastercard,Debit (Prepaid),YES,2,98.0,2010,No,12,2021,12,2010,56,4829
160,2,Mastercard,Debit,YES,2,2559.0,2012,No,08,2019,08,2002,56,8293
161,3,Mastercard,Debit,YES,2,6552.0,2010,No,10,2012,01,2003,56,4149
162,0,Mastercard,Credit,YES,2,13800.0,2020,No,01,2021,01,2020,57,3626
163,0,Mastercard,Debit,YES,1,16375.0,2020,No,08,2020,02,2020,58,1752
164,1,Visa,Debit,YES,1,14213.0,2020,No,05,2023,01,2020,58,8443
165,2,Visa,Debit (Prepaid),YES,1,73.0,2020,No,09,2020,02,2020,58,3069
166,0,Mastercard,Debit,YES,2,53466.0,2013,No,11,2022,07,2007,59,5230
167,0,Visa,Credit,YES,1,6600.0,2013,No,09,2020,01,2011,60,0491
168,1,Mastercard,Credit,NO,2,7200.0,2015,No,06,2022,12,2015,60,6308
169,0,Mastercard,Debit,YES,1,2868.0,2020,No,11,2020,01,2020,61,5768
170,1,Discover,Credit,YES,1,3400.0,2020,No,05,2024,01,2020,61,1506
171,0,Mastercard,Debit,YES,1,12915.0,2013,No,01,2022,10,2011,62,4931
172,1,Visa,Debit (Prepaid),YES,2,84.0,2017,No,12,2023,04,2009,62,2452
173,2,Discover,Credit,YES,2,17600.0,2018,No,07,2021,04,2018,62,0844
174,3,Mastercard,Debit,YES,1,31542.0,2009,No,12,2012,11,2006,62,3675
175,4,Mastercard,Debit,YES,2,23049.0,2013,No,02,2022,06,2013,62,1514
176,5,Visa,Debit,YES,1,29734.0,2017,No,05,2020,12,2017,62,9035
177,6,Visa,Credit,YES,2,27000.0,2016,No,01,2020,09,2011,62,2143
178,7,Mastercard,Debit (Prepaid),YES,1,18.0,2010,No,11,2022,03,2008,62,9104
179,0,Mastercard,Debit,YES,1,17848.0,2015,No,04,2023,12,2015,63,6692
180,1,Mastercard,Debit,NO,1,25563.0,2010,No,11,2022,05,2010,63,0063
181,2,Visa,Credit,YES,2,12000.0,2010,No,04,2020,10,2010,63,9372
182,3,Amex,Credit,NO,2,6600.0,2012,No,11,2018,02,2012,63,9104
183,0,Amex,Credit,NO,1,5600.0,2020,No,09,2023,01,2020,64,1313
184,1,Visa,Debit,YES,3,11873.0,2020,No,11,2022,02,2020,64,9853
185,2,Mastercard,Credit,YES,1,7200.0,2020,No,02,2020,02,2020,64,6771
186,0,Amex,Credit,YES,1,10000.0,2020,No,08,2024,02,2020,65,3735
187,1,Mastercard,Credit,YES,2,500.0,2010,No,04,2023,11,2010,65,9059
188,0,Mastercard,Debit,YES,1,22697.0,2020,No,02,2020,02,2020,66,7125
189,1,Mastercard,Credit,YES,1,18000.0,2013,No,08,2023,03,2013,66,5960
190,2,Mastercard,Debit,YES,1,32903.0,2010,No,10,2024,06,2010,66,7374
191,0,Visa,Debit,YES,2,12764.0,2010,No,08,2021,05,1999,67,2364
192,1,Mastercard,Credit,YES,1,6300.0,2019,No,10,2022,02,2019,67,5863
193,0,Mastercard,Debit,YES,2,7541.0,2013,No,02,2022,09,2008,68,0580
194,1,Visa,Debit,YES,2,1266.0,2012,No,03,2022,06,2007,68,3048
195,2,Mastercard,Credit,NO,1,9500.0,2014,No,04,2020,09,2014,68,4780
196,0,Mastercard,Debit,YES,2,1837.0,2010,No,04,2020,06,2010,69,3516
197,1,Mastercard,Debit,YES,2,17453.0,2008,No,08,2023,02,2006,69,0552
198,0,Visa,Debit,NO,1,28283.0,2012,No,10,2013,05,2008,70,8189
199,1,Visa,Credit,YES,1,13500.0,2012,No,04,2020,05,2010,70,1913
200,2,Visa,Credit,YES,2,13300.0,2012,No,07,2014,06,2012,70,2898
201,0,Mastercard,Debit,YES,2,17941.0,2009,No,09,2021,04,2009,71,6506
202,0,Visa,Credit,YES,1,14400.0,2012,No,04,2018,06,2010,72,1973
203,1,Visa,Credit,YES,1,4400.0,2012,No,04,2020,07,2012,72,1512
204,2,Mastercard,Credit,YES,1,13000.0,2020,No,03,2020,02,2020,72,8691
205,3,Visa,Debit,YES,2,22701.0,2020,No,04,2023,02,2020,72,9269
206,0,Mastercard,Credit,NO,1,16100.0,2020,No,08,2024,02,2020,73,1640
207,1,Mastercard,Debit,YES,2,7629.0,2020,No,09,2023,02,2020,73,8202
208,0,Mastercard,Debit,NO,1,16538.0,2012,No,03,2022,04,2012,74,2129
209,1,Visa,Debit,YES,2,22746.0,2010,No,12,2020,01,2008,74,2208
210,2,Mastercard,Debit,YES,1,9737.0,2016,No,07,2016,02,2016,74,4764
211,3,Mastercard,Credit,YES,1,6500.0,2014,No,07,2019,02,2011,74,0039
212,4,Mastercard,Debit,YES,2,2650.0,2013,No,06,2020,02,2011,74,6217
213,5,Visa,Credit,YES,2,8200.0,2011,No,05,2012,01,2009,74,0716
214,6,Amex,Credit,YES,2,6200.0,2013,No,01,2022,11,2006,74,6765
215,0,Amex,Credit,YES,2,22600.0,2014,No,01,2021,11,2006,75,2753
216,1,Mastercard,Debit,YES,2,6940.0,2009,No,05,2024,03,2006,75,9846
217,2,Mastercard,Debit,YES,2,23408.0,2008,No,03,2024,04,1996,75,7828
218,3,Visa,Credit,YES,2,9700.0,2007,No,09,2022,11,2004,75,1632
219,0,Mastercard,Debit,NO,2,10538.0,2006,No,06,2024,07,2006,76,0589
220,1,Mastercard,Debit,YES,2,6853.0,2006,No,03,2023,08,2001,76,7460
221,2,Mastercard,Debit,YES,2,607.0,2010,No,10,2020,12,2002,76,1087
222,3,Mastercard,Credit,YES,1,0.0,2010,No,08,2021,08,2010,76,2866
223,4,Visa,Debit,YES,2,8253.0,2011,No,06,2021,10,2004,76,8464
224,0,Visa,Debit,YES,2,8492.0,2020,No,09,2020,01,2020,77,8492
225,0,Visa,Credit,YES,1,9100.0,2010,No,07,2022,01,2010,78,7853
226,1,Mastercard,Credit,NO,2,2600.0,2011,No,04,2022,07,2011,78,0891
227,2,Mastercard,Credit,NO,1,7300.0,2010,No,05,2024,11,2002,78,2493
228,0,Visa,Credit,YES,1,15000.0,2009,No,08,2020,10,2009,79,8617
229,1,Mastercard,Credit,YES,2,18700.0,2020,No,04,2024,02,2020,79,1600
230,2,Visa,Debit,YES,1,21458.0,2020,No,05,2021,01,2020,79,9960
231,3,Visa,Credit,NO,1,15700.0,2014,No,04,2020,11,2010,79,8263
232,0,Mastercard,Debit,YES,2,20765.0,2014,No,01,2020,12,2014,80,9374
233,1,Mastercard,Debit,NO,2,18101.0,2020,No,06,2022,02,2020,80,2629
234,2,Visa,Credit,YES,1,8400.0,2020,No,11,2024,02,2020,80,2957
235,3,Mastercard,Debit,YES,1,1737.0,2020,No,03,2020,01,2020,80,9218
236,0,Mastercard,Credit,YES,2,20900.0,2020,No,02,2020,02,2020,81,0431
237,1,Visa,Credit,YES,1,23700.0,2020,No,11,2021,02,2020,81,5695
238,2,Mastercard,Credit,YES,1,17500.0,2020,No,11,2021,01,2020,81,2761
239,0,Visa,Debit,YES,1,26083.0,2009,No,06,2024,12,2009,82,2317
240,1,Visa,Debit,YES,1,31589.0,2008,No,10,2022,05,2008,82,3538
241,2,Visa,Credit,YES,2,24200.0,2013,No,06,2021,10,2000,82,2329
242,0,Mastercard,Debit,YES,2,18321.0,2020,No,02,2020,02,2020,83,8530
243,0,Mastercard,Debit,YES,2,7551.0,2010,No,10,2022,11,2002,84,7132
244,1,Mastercard,Debit,YES,1,15377.0,2011,No,06,2014,08,2004,84,2078
245,2,Visa,Debit,YES,1,12990.0,2016,No,03,2023,10,2007,84,2206
246,3,Visa,Debit,YES,1,8509.0,2010,No,02,2023,06,2010,84,2707
247,0,Visa,Debit,YES,1,96907.0,2014,No,11,2014,11,2014,85,2877
248,1,Visa,Credit,YES,1,43900.0,2013,No,07,2015,03,2008,85,5147
249,2,Visa,Debit (Prepaid),YES,2,76.0,2007,No,10,2020,11,2005,85,9163
250,0,Mastercard,Debit,YES,2,50915.0,2020,No,01,2020,01,2020,86,9158
251,1,Visa,Debit,YES,2,31767.0,2020,No,12,2021,02,2020,86,2868
252,0,Visa,Credit,YES,2,13200.0,2010,No,04,2024,07,2008,87,0690
253,1,Mastercard,Credit,YES,2,16000.0,2012,No,10,2022,02,2011,87,6678
254,2,Visa,Debit,YES,2,18132.0,2020,No,07,2024,01,2020,87,4203
255,3,Visa,Credit,YES,1,300.0,2012,No,02,2019,04,2012,87,4799
256,0,Mastercard,Debit,YES,2,2236.0,2015,No,11,2022,05,2000,88,0448
257,1,Visa,Debit,YES,2,21591.0,2010,No,08,2019,09,2010,88,9268
258,0,Mastercard,Debit,YES,2,11521.0,2020,No,04,2020,02,2020,89,4537
259,1,Visa,Credit,NO,1,8600.0,2020,No,06,2020,01,2020,89,9625
260,0,Amex,Credit,YES,1,9800.0,2010,No,03,2020,08,2003,90,8404
261,1,Visa,Credit,YES,2,11300.0,2009,No,03,2012,02,2008,90,8973
262,2,Mastercard,Credit,YES,1,8400.0,2011,No,10,2019,04,2009,90,2349
263,3,Mastercard,Debit,YES,1,16597.0,2009,No,12,2023,01,1999,90,7350
264,4,Amex,Credit,YES,2,9400.0,2008,No,09,2020,09,2008,90,3532
265,0,Visa,Debit,YES,1,18702.0,2007,No,12,2008,12,2007,91,5413
266,0,Visa,Debit,YES,1,24806.0,2007,No,06,2022,06,2007,92,6463
267,1,Visa,Debit,YES,1,19856.0,2011,No,05,2023,11,2007,92,4247
268,0,Visa,Debit (Prepaid),YES,2,68.0,2010,No,02,2021,02,2010,93,9284
269,1,Amex,Credit,YES,2,4900.0,2009,No,12,2022,06,2009,93,7594
270,0,Mastercard,Debit,YES,1,13390.0,2020,No,02,2022,02,2020,94,4606
271,1,Amex,Credit,YES,3,8400.0,2020,No,11,2024,02,2020,94,7986
272,0,Amex,Credit,YES,2,13700.0,2012,No,03,2024,02,2012,95,1669
273,0,Discover,Credit,YES,2,4200.0,2016,No,11,2024,06,2016,96,0919
274,0,Visa,Debit,YES,2,2292.0,2015,No,08,2020,10,2009,97,1219
275,1,Amex,Credit,YES,1,8800.0,2010,No,03,2021,07,2010,97,6131
276,0,Mastercard,Credit,NO,2,7600.0,2009,No,03,2023,11,2006,98,1205
277,1,Visa,Credit,YES,2,6200.0,2018,No,11,2021,05,2005,98,3977
278,0,Mastercard,Credit,YES,1,12900.0,2011,No,07,2023,06,1999,99,9578
279,1,Mastercard,Debit,YES,2,18820.0,2015,No,06,2022,09,2008,99,5816
280,2,Visa,Debit,YES,2,16167.0,2009,No,07,2005,06,2004,99,7475
281,3,Mastercard,Credit,YES,2,4200.0,2011,No,06,2023,02,2007,99,6477
282,4,Mastercard,Debit,YES,2,18861.0,2011,No,08,2024,06,2006,99,6648
283,5,Visa,Debit,NO,1,27231.0,2011,No,02,2020,02,2011,99,4198
284,0,Visa,Debit,YES,1,24390.0,2020,No,12,2024,02,2020,100,7347
285,1,Mastercard,Debit,YES,1,3106.0,2020,No,02,2023,02,2020,100,8606
286,0,Mastercard,Debit,YES,2,13595.0,2010,No,07,2020,03,2006,101,9539
287,1,Discover,Credit,NO,2,12300.0,2009,No,11,2009,10,2009,101,9947
288,2,Mastercard,Credit,YES,2,12300.0,2009,No,02,2019,08,2005,101,5721
289,3,Mastercard,Debit,YES,1,20743.0,2016,No,04,2021,06,2016,101,1139
290,4,Mastercard,Debit,YES,2,17706.0,2010,No,08,2021,06,2003,101,9829
291,5,Mastercard,Debit,YES,2,20962.0,2009,No,08,2022,05,2009,101,7172
292,6,Mastercard,Debit,YES,2,19439.0,2007,No,03,2024,01,1997,101,3845
293,0,Visa,Debit,NO,1,30160.0,2017,No,03,2022,06,2003,102,2773
294,1,Amex,Credit,YES,2,0.0,2018,No,06,2022,06,2018,102,2560
295,2,Visa,Debit,NO,1,28937.0,2008,No,11,2012,02,2004,102,3786
296,0,Mastercard,Debit (Prepaid),NO,2,22.0,2011,No,05,2020,03,2005,103,2572
297,1,Mastercard,Debit,YES,2,1575.0,2005,No,08,2015,01,2004,103,1083
298,2,Mastercard,Debit,YES,2,7562.0,2011,No,12,2020,10,2002,103,1095
299,3,Mastercard,Debit,YES,2,17211.0,2013,No,05,2024,08,1999,103,5472
300,4,Visa,Credit,NO,2,9500.0,2010,No,06,2010,05,2008,103,1854
301,0,Mastercard,Debit,YES,2,24191.0,2011,No,11,2022,06,2011,104,4653
302,1,Mastercard,Debit (Prepaid),YES,2,68.0,2006,No,03,2023,07,2005,104,9247
303,2,Mastercard,Debit,YES,2,8037.0,2010,No,02,2020,05,2007,104,0022
304,3,Mastercard,Debit (Prepaid),YES,2,97.0,2015,No,02,2018,02,2009,104,9011
305,0,Mastercard,Debit,YES,1,15555.0,2020,No,05,2021,01,2020,105,0161
306,1,Mastercard,Debit,YES,1,18242.0,2016,No,05,2016,04,2016,105,4907
307,2,Visa,Debit (Prepaid),YES,2,62.0,2020,No,12,2021,02,2020,105,2998
308,3,Visa,Debit,NO,1,16715.0,2020,No,12,2022,01,2020,105,6722
309,0,Mastercard,Debit (Prepaid),YES,1,46.0,2020,No,02,2020,02,2020,106,0043
310,0,Mastercard,Debit,YES,2,20195.0,2012,No,04,2021,02,2012,107,1220
311,1,Mastercard,Debit,YES,2,39818.0,2019,No,07,2019,06,2019,107,3433
312,2,Visa,Debit,YES,2,33736.0,2010,No,09,2018,05,2010,107,9448
313,0,Mastercard,Debit,YES,2,17850.0,2008,No,11,2011,08,2008,108,2379
314,1,Amex,Credit,YES,2,11300.0,2008,No,02,2021,08,2005,108,9001
315,0,Visa,Debit,NO,2,1981.0,2014,No,09,2015,05,2010,109,2421
316,1,Mastercard,Debit,YES,1,15695.0,2010,No,07,2024,08,2009,109,5355
317,2,Mastercard,Debit,YES,2,23475.0,2011,No,06,2014,03,2008,109,2842
318,0,Mastercard,Credit,YES,1,12900.0,2011,No,06,2017,11,2001,110,3523
