transaction_id,card_id,merchant_id,year,month,day,time,amount,use_chip,errors,is_fraud
235,5203,218,2010,4,7,05:00,523.04,Online Transaction,Bad CVV,Yes
236,3999,219,2015,7,7,06:32,4.16,Chip Transaction,No Error,No
237,1989,220,2005,3,30,15:20,14.92,Swipe Transaction,No Error,No
238,1934,221,2015,11,24,11:12,17.51,Chip Transaction,No Error,No
239,5558,222,2010,7,10,16:50,39.02,Swipe Transaction,No Error,No
240,2941,223,2009,10,2,04:47,96.03,Swipe Transaction,No Error,No
241,6013,224,2012,7,9,08:05,1.62,Swipe Transaction,No Error,No
242,611,225,2010,7,26,08:51,2.53,Swipe Transaction,No Error,No
243,4085,226,2015,3,23,06:16,9.8,Chip Transaction,No Error,No
244,3534,227,2002,10,16,22:44,50.75,Swipe Transaction,No Error,No
245,5505,228,2010,7,16,10:25,6.01,Swipe Transaction,No Error,No
246,4602,229,1996,6,29,13:58,9.04,Swipe Transaction,No Error,No
247,4008,230,2012,11,7,23:49,489.0,Swipe Transaction,No Error,No
248,4362,231,2018,11,11,08:23,99.0,Chip Transaction,No Error,No
249,2714,232,2018,9,25,12:45,43.14,Chip Transaction,No Error,No
250,3970,233,2014,2,8,13:19,160.81,Swipe Transaction,No Error,Yes
251,5179,234,2014,2,21,08:35,23.26,Swipe Transaction,No Error,No
252,3663,49,2011,12,14,04:32,13.34,Online Transaction,No Error,No
253,2710,235,2007,6,9,06:09,12.81,Swipe Transaction,No Error,No
254,1478,236,2001,7,26,11:30,66.99,Swipe Transaction,No Error,No
255,4066,237,2011,9,7,08:26,1.2,Swipe Transaction,No Error,No
256,5467,238,1999,8,2,11:44,189.42,Swipe Transaction,No Error,No
257,1157,239,2017,3,12,19:10,25.38,Swipe Transaction,No Error,No
258,996,240,2014,3,5,16:04,121.64,Swipe Transaction,No Error,No
259,1459,241,1993,7,21,09:47,47.06,Swipe Transaction,No Error,No
260,5859,242,2019,3,29,13:49,2.7,Chip Transaction,No Error,No
261,609,243,2020,1,12,07:47,40.18,Chip Transaction,No Error,No
262,926,244,2018,5,4,19:01,14.6,Chip Transaction,No Error,Yes
263,2759,245,2008,12,20,15:25,312.96,Online Transaction,No Error,Yes
264,5755,246,2017,3,18,11:59,23.37,Swipe Transaction,No Error,No
265,4166,247,2020,1,20,08:46,8.55,Chip Transaction,No Error,No
266,5091,93,2016,9,27,11:05,0.98,Chip Transaction,No Error,No
267,4230,248,2013,9,6,13:48,107.81,Online Transaction,No Error,Yes
268,263,249,2012,3,11,06:31,2.11,Swipe Transaction,No Error,No
269,4,250,2015,2,28,07:09,152.05,Swipe Transaction,No Error,No
270,2363,251,2016,9,26,14:37,34.04,Chip Transaction,No Error,No
271,4104,252,2001,2,11,17:38,11.15,Swipe Transaction,No Error,No
272,2239,253,2003,3,12,12:12,60.0,Swipe Transaction,No Error,No
273,1471,254,2008,4,21,00:34,7.52,Swipe Transaction,No Error,No
274,5976,255,2011,12,28,14:40,11.12,Swipe Transaction,No Error,No
275,2071,256,2013,10,12,08:18,0.4,Swipe Transaction,No Error,No
276,5844,18,2016,3,20,10:19,46.97,Online Transaction,No Error,No
277,2585,257,2017,1,24,08:23,3.82,Chip Transaction,No Error,No
278,2297,9,2015,9,22,09:00,23.67,Online Transaction,No Error,No
279,1785,258,2009,2,22,06:00,74.5,Swipe Transaction,No Error,No
280,1760,259,2014,3,14,10:53,46.28,Online Transaction,No Error,No
281,1501,260,2011,9,3,14:04,65.0,Swipe Transaction,No Error,No
282,491,261,2014,4,6,15:52,8.78,Swipe Transaction,No Error,No
283,4065,262,2000,12,6,17:39,838.18,Swipe Transaction,No Error,No
284,426,263,2012,8,10,14:12,39.88,Swipe Transaction,No Error,No
285,1596,264,2014,7,22,08:24,4.88,Swipe Transaction,No Error,No
286,2646,265,2011,9,7,11:26,92.55,Swipe Transaction,No Error,No
287,4460,266,2010,9,19,08:20,87.65,Swipe Transaction,No Error,No
288,3503,267,2018,1,11,09:20,3.98,Chip Transaction,No Error,No
289,3948,268,2012,3,31,15:50,108.3,Swipe Transaction,No Error,No
290,1266,269,2009,11,4,00:40,-54.0,Swipe Transaction,No Error,No
291,3183,270,2018,10,24,07:08,18.95,Chip Transaction,No Error,No
292,1317,271,2006,3,23,06:51,58.6,Swipe Transaction,No Error,No
293,1805,272,2016,12,1,12:14,80.0,Swipe Transaction,No Error,No
294,5186,273,2010,4,8,19:31,2.44,Swipe Transaction,No Error,No
295,2329,73,2015,4,27,09:08,20.11,Online Transaction,No Error,No
296,1698,274,2004,4,17,14:33,0.91,Swipe Transaction,No Error,No
297,5216,15,2017,5,9,06:58,23.32,Online Transaction,No Error,No
298,5426,275,2016,10,16,14:45,2.07,Online Transaction,No Error,Yes
299,4136,276,2006,5,4,10:41,37.68,Swipe Transaction,No Error,No
300,3398,277,2018,6,18,08:55,49.4,Chip Transaction,No Error,No
301,4981,278,1999,8,17,15:53,6.33,Swipe Transaction,No Error,No
302,2428,83,2008,11,21,08:48,47.33,Online Transaction,No Error,Yes
303,443,279,2006,12,27,12:35,0.48,Swipe Transaction,No Error,No
304,884,280,2004,8,18,12:47,37.91,Swipe Transaction,No Error,No
305,5848,281,2016,6,26,18:48,10.32,Chip Transaction,No Error,No
306,5806,282,2017,12,12,10:22,-92.0,Chip Transaction,No Error,No
307,4146,283,2001,2,6,11:17,19.93,Swipe Transaction,No Error,No
308,5433,284,2012,10,12,17:33,15.87,Swipe Transaction,No Error,No
309,4265,285,2011,4,11,15:54,1.42,Swipe Transaction,No Error,No
310,30,286,2010,3,25,12:17,161.26,Swipe Transaction,No Error,No
311,2671,287,2014,8,30,11:44,21.2,Swipe Transaction,No Error,No
312,3615,288,2000,4,21,09:09,42.95,Swipe Transaction,No Error,No
313,1458,289,2013,9,21,06:21,62.89,Online Transaction,Bad Expiration,Yes
314,5814,290,2015,1,10,09:39,3.73,Chip Transaction,No Error,No
315,5569,291,2013,8,11,10:06,807.07,Swipe Transaction,No Error,Yes
316,920,292,2012,10,16,02:44,15.11,Swipe Transaction,No Error,No
317,1885,293,2018,9,21,11:12,27.36,Swipe Transaction,No Error,No
318,3610,294,2015,7,21,20:52,36.6,Chip Transaction,No Error,No
319,5453,295,2008,6,22,20:42,203.16,Online Transaction,No Error,Yes
320,1109,296,2010,5,4,06:59,4.8,Swipe Transaction,No Error,No
321,3705,297,2007,1,18,13:37,86.84,Swipe Transaction,No Error,No
322,3460,298,2012,10,8,10:12,57.71,Swipe Transaction,No Error,No
323,5670,299,2018,2,21,10:57,15.18,Swipe Transaction,No Error,No
324,2603,15,2013,8,19,08:51,63.45,Online Transaction,No Error,No
325,2059,300,2011,8,2,01:24,11.49,Swipe Transaction,No Error,No
326,3780,9,2010,5,29,09:51,11.05,Online Transaction,No Error,No
327,1041,301,2005,1,1,08:23,160.0,Swipe Transaction,No Error,No
328,1316,302,2013,4,2,16:51,47.48,Swipe Transaction,No Error,No
329,534,303,2013,6,10,11:28,9.73,Swipe Transaction,No Error,No
330,5200,304,2008,9,27,12:33,88.56,Swipe Transaction,No Error,No
331,1237,305,2003,2,17,16:34,120.52,Swipe Transaction,No Error,No
332,601,306,2001,7,13,08:37,15.46,Swipe Transaction,No Error,No
333,1233,307,2020,1,26,06:42,3.22,Chip Transaction,No Error,No
334,4259,308,2019,10,6,08:56,-63.0,Chip Transaction,No Error,No
335,5031,309,2012,1,1,11:42,37.76,Swipe Transaction,No Error,No
336,1395,310,2002,6,8,12:43,135.14,Online Transaction,No Error,No
337,3133,42,2016,5,24,10:17,100.97,Online Transaction,No Error,Yes
338,5174,311,2013,6,2,11:09,2.23,Swipe Transaction,No Error,No
339,3842,312,2013,5,6,18:46,103.51,Swipe Transaction,No Error,No
340,299,313,2003,6,22,07:58,233.68,Online Transaction,No Error,Yes
341,5746,314,2011,9,14,06:54,243.68,Swipe Transaction,No Error,No
342,3840,315,2009,4,19,00:00,2.69,Swipe Transaction,No Error,No
343,4048,316,2010,7,20,03:28,111.6,Swipe Transaction,No Error,Yes
344,6100,317,2018,12,9,08:05,10.66,Swipe Transaction,No Error,No
345,4325,318,2011,4,12,12:18,2.49,Swipe Transaction,No Error,No
346,3685,116,2006,11,28,15:49,12.38,Online Transaction,No Error,No
347,2248,319,2013,1,26,06:46,21.95,Swipe Transaction,No Error,No
348,999,320,2013,5,17,14:15,-76.0,Swipe Transaction,No Error,No
349,3362,321,2001,6,21,09:14,2.53,Swipe Transaction,No Error,No
350,1233,322,2011,6,30,12:35,228.29,Swipe Transaction,No Error,No
351,2116,323,2019,10,12,12:04,11.48,Chip Transaction,No Error,No
352,2506,324,2005,9,26,10:46,83.74,Swipe Transaction,No Error,No
353,4079,325,2007,7,11,08:23,12.78,Swipe Transaction,No Error,No
354,2332,326,1995,4,8,11:24,-86.0,Swipe Transaction,No Error,No
355,5029,327,2018,5,6,17:19,48.82,Chip Transaction,No Error,No
356,1307,328,2018,1,7,08:13,31.24,Swipe Transaction,No Error,No
357,987,329,2008,8,19,23:56,20.0,Swipe Transaction,No Error,No
358,1193,15,2006,10,14,15:43,62.22,Online Transaction,No Error,No
359,6080,244,2019,4,18,17:41,13.2,Chip Transaction,No Error,Yes
360,217,330,2001,12,14,11:07,54.01,Swipe Transaction,No Error,No
361,5715,331,2012,5,19,22:55,10.81,Swipe Transaction,No Error,No
362,4507,332,2013,8,16,11:53,26.44,Swipe Transaction,No Error,No
363,1589,333,2012,12,20,20:23,1.42,Swipe Transaction,No Error,No
364,1907,334,2002,10,17,14:31,1.55,Swipe Transaction,No Error,No
365,1341,335,2008,8,29,17:00,332.28,Swipe Transaction,No Error,Yes
366,4251,336,2015,8,6,21:33,104.48,Chip Transaction,No Error,No
367,3364,337,2005,11,6,18:13,460.0,Swipe Transaction,No Error,No
368,1348,338,2010,4,12,08:11,38.56,Swipe Transaction,No Error,No
369,5346,339,2010,5,6,05:30,54.64,Online Transaction,No Error,Yes
370,1781,340,2009,7,12,06:38,11.89,Swipe Transaction,No Error,No
371,4853,341,2011,9,2,07:06,2.68,Swipe Transaction,No Error,No
372,5781,342,2007,6,19,09:48,59.08,Swipe Transaction,No Error,No
373,4251,343,2016,8,11,10:30,-60.0,Chip Transaction,No Error,No
374,779,344,2012,1,4,15:48,22.56,Swipe Transaction,No Error,No
375,3199,345,2018,4,19,09:44,0.34,Chip Transaction,No Error,No
376,6074,346,2007,1,6,12:33,7.96,Swipe Transaction,No Error,No
377,3495,347,2003,1,9,14:32,79.76,Swipe Transaction,No Error,No
378,4178,348,2018,6,1,07:39,66.9,Chip Transaction,No Error,No
379,367,349,2006,7,22,13:05,41.38,Swipe Transaction,No Error,No
380,79,350,2020,2,15,06:52,3.04,Chip Transaction,No Error,No
